Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Name,Email,Gender
45,No,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8,Daniel Jones,daniel.jones@yahoo.com,Male
40,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Mary Oliver,mary.oliver@outlook.com,Female
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7,Johnny Brooks,johnny.brooks@protonmail.com,Male
29,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,30,2,1,Laboratory Technician,4,Single,3983,7621,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2,Nicole Conway,nicole.conway@gmail.com,Female
30,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,30,2,2,Sales Executive,3,Divorced,6118,5431,1,Y,No,13,3,3,80,3,10,2,3,10,9,1,2,Gregory Castillo,gregory.castillo@protonmail.com,Male
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7,Garrett Cross,garrett.cross@gmail.com,Male
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,0,4,Gary Williams,gary.williams@protonmail.com,Male
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,John Santana,john.santana@gmail.com,Male
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10,Craig Wells,craig.wells@protonmail.com,Male
29,No,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7,James Andrews,james.andrews@outlook.com,Male
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,62,3,3,Manufacturing Director,2,Single,8095,18264,0,Y,No,13,3,4,80,0,17,5,3,16,6,0,13,Maria Garcia,maria.garcia@yahoo.com,Female
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,83,3,1,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,Heather Keller DVM,heather.keller.dvm@gmail.com,Female
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2,Matthew Wolf,matthew.wolf@outlook.com,Male
47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,99,3,2,Sales Representative,3,Single,2976,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0,Tanya Alvarado,tanya.alvarado@outlook.com,Female
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,James Little,james.little@protonmail.com,Male
29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,61,3,2,Sales Executive,3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2,James White,james.white@gmail.com,Male
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,Alec Wilson,alec.wilson@outlook.com,Male
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,Christopher Nguyen,christopher.nguyen@protonmail.com,Male
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,91,3,3,Manager,3,Married,12504,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0,Gloria Webb,gloria.webb@protonmail.com,Female
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7,Brittany Robinson,brittany.robinson@gmail.com,Female
30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2,Kimberly Spencer,kimberly.spencer@gmail.com,Female
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,Desiree Ali,desiree.ali@gmail.com,Female
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,98,2,2,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0,Cathy Cummings,cathy.cummings@outlook.com,Female
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,99,2,1,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,Patricia Harris,patricia.harris@gmail.com,Female
36,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Robert Sanders,robert.sanders@protonmail.com,Male
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,48,2,3,Sales Executive,4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,Michael Barnes,michael.barnes@outlook.com,Male
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,88,3,2,Healthcare Representative,3,Married,6755,2967,2,Y,No,11,3,3,80,0,15,2,3,3,2,1,2,Pamela Chavez DDS,pamela.chavez.dds@yahoo.com,Female
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7,Joseph Howard,joseph.howard@protonmail.com,Male
21,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,39,3,1,Sales Representative,4,Single,2610,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2,Linda Burns,linda.burns@yahoo.com,Female
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,34,3,1,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0,Carrie Bell,carrie.bell@outlook.com,Female
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,98,3,1,Laboratory Technician,1,Married,3452,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3,Caitlin Fuentes,caitlin.fuentes@outlook.com,Female
46,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,30,3,2,Manufacturing Director,3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0,Denise Munoz,denise.munoz@gmail.com,Female
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Joseph Smith,joseph.smith@gmail.com,Male
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3,George Morris,george.morris@gmail.com,Male
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0,Melanie Mcdonald,melanie.mcdonald@gmail.com,Female
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2,Martha Moore,martha.moore@outlook.com,Female
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,Carla Gilmore,carla.gilmore@yahoo.com,Female
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,54,3,1,Research Scientist,4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2,Eric Booth,eric.booth@outlook.com,Male
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,97,2,2,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0,Mr. Shawn Fisher,shawn.fisher@yahoo.com,Male
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4,John Hoover,john.hoover@gmail.com,Male
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,Christopher Phillips,christopher.phillips@yahoo.com,Male
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0,Mr. Joshua Orozco,joshua.orozco@protonmail.com,Male
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,Michael Moran,michael.moran@protonmail.com,Male
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2,Brandon Gonzales,brandon.gonzales@protonmail.com,Male
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4,Justin Young,justin.young@gmail.com,Male
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2,Austin Gray,austin.gray@outlook.com,Male
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,Carla Carey,carla.carey@outlook.com,Female
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,Maria Warren,maria.warren@protonmail.com,Female
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,73,3,1,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4,Jamie Conner,jamie.conner@protonmail.com,Female
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,43,3,1,Research Scientist,2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,Terry King,terry.king@yahoo.com,Male
36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,61,2,3,Sales Executive,3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0,Mr. Carl Choi,carl.choi@outlook.com,Male
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,40,3,1,Research Scientist,4,Single,2285,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0,Anna Woodard,anna.woodard@protonmail.com,Female
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,Wendy Gonzalez,wendy.gonzalez@outlook.com,Female
40,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,Rebecca Martinez,rebecca.martinez@yahoo.com,Female
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,William Brown,william.brown@protonmail.com,Male
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1,Jamie Davis,jamie.davis@outlook.com,Female
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,59,2,4,Research Director,2,Divorced,14336,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,Troy Morgan,troy.morgan@yahoo.com,Male
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,78,2,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0,Sandra Kim,sandra.kim@outlook.com,Female
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Kelly Bailey,kelly.bailey@protonmail.com,Female
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,72,3,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,Angela Evans,angela.evans@yahoo.com,Female
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,31,3,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12,Lisa Blankenship,lisa.blankenship@protonmail.com,Female
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,Michael Watson,michael.watson@gmail.com,Male
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,Timothy Houston,timothy.houston@gmail.com,Male
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,99,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,John Wagner,john.wagner@outlook.com,Male
37,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,Carrie Brown,carrie.brown@outlook.com,Female
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,Daniel Rogers,daniel.rogers@outlook.com,Male
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6,Edgar Lawrence,edgar.lawrence@outlook.com,Male
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,Brian Figueroa,brian.figueroa@gmail.com,Male
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4,Kimberly Martinez,kimberly.martinez@outlook.com,Female
41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,Jenna Barnes,jenna.barnes@yahoo.com,Female
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,Heidi Jones,heidi.jones@outlook.com,Female
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,Courtney Brewer,courtney.brewer@protonmail.com,Female
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,Ian Williams,ian.williams@protonmail.com,Male
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,Jack Peters Jr.,jack.peters.jr.@yahoo.com,Male
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4,Savannah Woods,savannah.woods@outlook.com,Female
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,Paul Underwood,paul.underwood@gmail.com,Male
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,Bryan Fernandez,bryan.fernandez@gmail.com,Male
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,Kayla Garza,kayla.garza@gmail.com,Female
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,Catherine Harper,catherine.harper@yahoo.com,Female
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,Julie Myers,julie.myers@outlook.com,Female
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Andrew Ramos,andrew.ramos@protonmail.com,Male
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,Jason Lawson,jason.lawson@outlook.com,Male
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,Bobby Dixon,bobby.dixon@yahoo.com,Male
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,Matthew Price,matthew.price@outlook.com,Male
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2,Amanda Caldwell,amanda.caldwell@gmail.com,Female
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,53,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,Andrew Webb,andrew.webb@outlook.com,Male
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,Elizabeth Miles,elizabeth.miles@yahoo.com,Female
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,71,2,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,Mercedes Anderson,mercedes.anderson@gmail.com,Female
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,52,2,1,Human Resources,4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Charles Stephens,charles.stephens@gmail.com,Male
30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,69,3,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,Chad Mendez,chad.mendez@outlook.com,Male
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,Alan Jacobs,alan.jacobs@outlook.com,Male
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,Leslie Martin,leslie.martin@gmail.com,Female
30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,Julia Bowen,julia.bowen@protonmail.com,Female
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11,David Martinez,david.martinez@gmail.com,Male
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,Caitlin Hines,caitlin.hines@yahoo.com,Female
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,Melissa Hurley,melissa.hurley@gmail.com,Female
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,John Avila,john.avila@outlook.com,Male
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,Katie Wood,katie.wood@outlook.com,Female
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,Ashley James,ashley.james@gmail.com,Female
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,Ann Nichols,ann.nichols@protonmail.com,Female
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8,Tiffany Kelly,tiffany.kelly@yahoo.com,Female
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,Johnny Yates,johnny.yates@gmail.com,Male
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3,Laura Hobbs,laura.hobbs@yahoo.com,Female
30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,57,3,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2,John Smith,john.smith@outlook.com,Male
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,Kimberly Lin,kimberly.lin@gmail.com,Female
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,66,3,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0,Kristen Marshall,kristen.marshall@outlook.com,Female
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,43,3,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,Jeffrey White,jeffrey.white@gmail.com,Male
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,97,3,1,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0,Deanna Bates,deanna.bates@outlook.com,Female
36,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,32,3,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,Miranda Nolan,miranda.nolan@yahoo.com,Female
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,99,2,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,Tamara Simmons,tamara.simmons@protonmail.com,Female
48,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,Nicholas Maxwell,nicholas.maxwell@yahoo.com,Male
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,83,3,4,Manager,2,Single,16835,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7,Taylor Green,taylor.green@gmail.com,Female
41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Angela Turner,angela.turner@yahoo.com,Female
35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,Karen Park,karen.park@gmail.com,Female
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Zachary Lawrence,zachary.lawrence@protonmail.com,Male
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,3,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,John Flores,john.flores@yahoo.com,Male
